session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,diff_time1,diff_time2,diff_time3,diff_time4,diff_time5,diff_time6,diff_time7,diff_time8,diff_time9,diff_time10,user_id
0,193,574,133,3,133,133,3,133,203,133,10,0,0,1,20,1,0,1,0,0,31
1,422,192,681,257,133,31,398,4223,217,55,1,0,163,105,0,1,3,3,8,1,31
2,55,3,55,55,5,293,422,341,910,55,0,14,1,242,0,0,1,0,0,0,31
3,476,4196,476,55,55,55,55,958,200,124,2,1,0,1,25,1,0,0,0,0,31
4,346,55,5,4668,258,211,4422,2286,700,2286,1,0,1,1,1,0,1,1,0,1,31
5,227,700,211,211,55,55,128,172,3532,3973,0,0,1,63,1,1,844,184,4,1,31
6,354,574,133,3,133,31,133,398,193,133,1499,0,0,1,2,0,11,1,0,1,31
7,264,4650,1634,398,55,3,55,3,200,124,2,5,9,10,0,1,0,1,0,0,31
8,55,341,106,203,1320,525,55,824,106,5,1,0,0,1,0,0,0,0,0,0,31
9,1029,354,4804,354,4014,538,608,608,538,616,3,0,1,0,1,1,1,2,0,1,31
10,616,172,172,468,2,2,6,3,2,2802,19,51,13420,0,12,0,3,17,1,1,31
11,2802,3414,3929,2149,163,163,118,90,2,90,0,0,0,0,1,29,0,0,1,0,31
12,108,569,615,18,45,108,388,17,90,2482,0,0,1,0,0,0,0,0,1,0,31
13,90,740,5,102,22,1247,1247,90,569,31,0,0,0,0,0,1,0,2,7,0,31
14,20,31,20,90,5,118,6,3,2,2,1,0,0,0,0,175,2,11,18,1,31
15,54,2,63,86,54,86,63,54,63,143,0,0,0,1,0,0,13,0,0,1,31
16,54,63,54,143,61,61,61,61,371,314,59,0,0,10390,1,1,1,0,0,1,31
17,314,371,314,1119,371,1421,1421,1119,314,371,0,1,0,0,0,1,0,0,1,2,31
18,98,98,314,371,2587,314,1362,1187,1362,314,1,1,3,2,0,0,0,1,0,1,31
19,2587,1187,1362,1362,314,371,314,371,1187,314,0,0,1,15,0,1,0,0,1,0,31
20,371,371,1421,3,314,371,2,1421,466,2005,3,0,0,1,0,0,0,2,0,0,31
21,371,314,3,869,314,2,466,579,869,371,0,1,0,0,0,0,1,0,0,0,31
22,314,869,314,579,1119,371,869,314,579,2045,1,0,0,0,1,0,0,0,1,0,31
23,2412,371,314,466,869,869,314,466,579,466,0,0,0,0,1,0,0,0,1,1,31
24,579,314,579,2265,828,579,314,579,869,466,0,1,0,0,1,1,0,1,0,0,31
25,579,371,314,466,579,466,314,466,579,579,0,0,2,2,1,0,9,23,1,0,31
26,869,466,466,466,192,466,681,466,346,128,1,7,1,1,0,0,1,1,0,0,31
27,466,466,466,579,466,293,579,1473,43,468,1,1,0,1,2,0,0,3,34,0,31
28,2,2,3,6,2,2072,247,2072,598,1787,1,2,0,11,1,1,0,0,1,0,31
29,128,203,1473,212,5,598,2072,525,1775,598,1,0,0,0,1,1,0,0,0,54,31
30,2072,2586,170,170,2,3,6,1921,2,3,1,0,1,14,0,0,1,0,1,0,31
31,1921,106,1921,1921,371,314,314,371,1421,314,0,8,1,5525,0,1,0,1,0,0,31
32,1498,1119,314,466,2005,371,1362,314,1187,1187,0,3,2,0,1,1,0,0,65,0,31
33,1362,314,371,466,466,314,314,371,314,1119,1,7,0,1,0,1,1,0,0,1,31
34,371,314,466,314,2045,466,2412,466,371,466,0,0,1,0,0,0,2,2,0,2,31
35,466,314,466,2265,579,466,466,466,87,5,0,1,1,0,0,9,62,1,1,13,31
36,466,87,574,133,3,133,31,3,133,133,27,15,0,0,1,0,0,2,1,1,31
37,398,4503,992,992,55,3,55,3,55,106,3,2,3,13,0,1,0,1,2,1,31
38,1642,174,4382,3959,55,3,55,200,124,55,0,2,2,7,1,1,1,0,1,1,31
39,55,3651,3948,258,854,258,354,354,854,792,1,1,1,0,5,1,3,13,2,16,31
40,3,55,55,192,55,3672,211,4833,211,258,0,1,1,3,3,0,0,1,8,1,31
41,258,4178,792,227,227,538,538,55,55,3,2,12,0,1,1,21,53,1,0,2,31
42,55,55,3,422,106,1797,4114,3893,1311,55,1,0,1,0,1,11,2,8,8,1,31
43,3,55,55,55,4088,4890,618,618,227,55,0,1,1,3,1,0,2,1,0,1,31
44,55,892,3,422,476,476,3983,55,55,3,0,0,1,1,1,2,4,1,1,0,31
45,55,55,422,55,55,3347,3,55,200,124,1,0,2,2,0,1,0,0,0,1,31
46,31,739,4202,253,2904,3575,922,55,3,55,1,2,1,0,1,4,0,0,2,1,31
47,192,314,371,371,314,1119,371,2005,927,927,1,0,1,0,1,1,0,0,1,1,31
48,927,314,314,1119,371,314,2045,2412,927,927,0,1,0,1,0,0,0,0,1,1,31
49,927,927,927,579,371,2265,927,579,314,55,1,1,0,0,0,1,0,1,0,1,31
50,579,927,927,574,133,3,133,200,124,31,4,393,80408,1,0,1,0,0,0,0,31
51,1347,133,1590,4314,398,133,1347,133,4806,55,1,0,4,7,8,1,0,4,8,0,31
52,3,55,398,55,55,4411,573,573,4457,601,1,0,1,2,1,1,1,1,0,4,31
53,370,258,258,618,618,200,55,124,422,106,0,1,11,1,5,0,1,0,0,0,31
54,203,346,172,1029,341,1320,106,525,824,4023,0,1,0,0,0,0,0,0,3,1,31
55,3644,211,211,211,423,423,1490,755,1490,755,0,8,1,0,1,1,1,0,1,4,31
56,892,55,133,425,574,3,133,133,200,124,2656,0,61634,15130,1,0,1,0,0,1,31
57,31,133,4505,217,217,1145,398,3,55,200,0,4,1,1,3,4,16,0,1,0,31
58,124,55,293,918,2549,397,4615,870,3956,700,0,1,0,0,2,1,1,0,1,1,31
59,700,370,370,397,370,397,397,397,397,55,0,1,0,1,3,4,5,80,0,1,31
60,55,200,124,5,681,192,128,3658,4705,538,0,0,1,0,0,0,10,4,1,1,31
61,227,538,227,654,654,217,217,55,55,2151,0,4,0,1,3,2,17,1,1,0,31
62,55,106,1320,247,525,55,4261,3862,975,1479,0,1,0,0,1,1,3,1,0,0,31
63,4053,975,1479,975,354,354,613,613,55,217,1,0,1,0,1,0,1,0,0,1,31
64,217,423,133,133,4323,398,55,55,55,397,9,214,1,4,7,9,1,1,0,0,31
65,918,55,124,422,200,55,55,476,55,4034,1,0,0,0,2,1,2,15,2,1,31
66,217,3406,217,55,792,55,124,55,200,192,0,1,0,1,0,1,0,0,1,0,31
67,106,128,293,106,174,1574,1700,55,341,3353,1,0,0,0,0,0,1,0,1,0,31
68,1919,4895,1919,227,870,211,211,55,200,124,2,2,1,1,3,1,4,0,0,0,31
69,422,4779,227,3331,227,55,422,681,203,5,4,0,1,0,1,1,0,0,0,0,31
70,55,172,425,2,468,2,2,2,6,3,4,71820,1899,0,6,6,1,1,3,8,31
71,2,3,6,2,990,2,2405,773,2405,425,0,0,1,0,60,154,3,2,251,5598,31
72,425,193,2,468,2,6,2,3,6,2,216,222,0,1,1,90,0,61,0,0,31
73,3,4,10,10,4,3,6,3,4,4,2,0,1,0,0,91,0,0,1,41,31
74,21,10,6,27,4,10,4,4,9,3,0,15,0,5,40,46,31,0,0,0,31
75,30,6,10,21,27,33,30,115,9,9,0,0,0,0,2,0,0,0,3,25,31
76,4,115,24,4,33,6,4,9,4,115,30,0,0,0,0,1,0,123,0,0,31
77,6,24,9,193,425,425,193,2,6,3,0,0,10785,568,2993,81211,15,0,3,63,31
78,3,6,2,2,2,6,2,3,63,54,0,233,2,6186,2331,0,3,50,0,0,31
79,2,6,3,54,63,86,54,63,143,54,0,0,1,0,0,14,0,0,60,0,31
80,143,63,2,2,2,88,2,574,133,3,0,88,2,295,11,868,71973,0,0,1,31
